               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11019,             0.11321,            0.052756,          0.00046286,            0.014876,          0.00026757,          7.2129e-05,              0.1028,             0.15312,            0.048428,            0.070638,           0.0032624,           0.0032624
                   1,             0.10234,             0.10382,            0.038297,          0.00046188,             0.01203,          0.00027181,           6.795e-05,             0.10308,             0.16311,            0.044757,            0.040573,           0.0065304,           0.0065304
                   2,             0.09315,            0.089789,            0.030401,           0.0093942,              0.1064,            0.010592,           0.0030709,            0.094778,             0.14046,            0.038433,            0.010442,           0.0097325,           0.0097325
                   3,            0.085954,            0.088016,            0.024611,             0.62735,            0.053953,            0.039391,            0.013343,             0.08781,             0.13623,            0.032661,            0.009703,            0.009703,            0.009703
                   4,            0.079499,            0.086602,            0.022316,             0.80206,            0.079926,            0.081981,            0.028842,             0.07626,             0.11382,            0.026334,            0.009703,            0.009703,            0.009703
                   5,            0.075785,            0.083506,            0.020896,             0.81746,            0.086725,             0.09314,            0.032013,            0.075055,             0.10312,             0.02564,            0.009604,            0.009604,            0.009604
                   6,            0.072509,            0.081715,            0.020035,             0.81387,            0.089845,             0.10034,             0.03926,            0.073355,              0.1073,            0.024548,            0.009505,            0.009505,            0.009505
                   7,            0.070449,            0.080972,            0.019086,             0.70946,             0.13033,             0.13695,            0.054744,            0.068366,            0.099959,            0.022862,            0.009406,            0.009406,            0.009406
                   8,             0.06878,            0.080584,            0.018186,             0.41765,             0.17163,             0.15357,            0.062708,            0.067504,            0.098955,            0.022079,            0.009307,            0.009307,            0.009307
                   9,            0.067011,            0.078436,            0.017829,             0.20675,             0.20312,             0.15815,            0.065831,             0.06736,            0.098661,            0.022922,            0.009208,            0.009208,            0.009208
                  10,            0.065913,             0.07706,            0.016849,             0.21784,             0.22356,             0.17425,            0.069066,            0.067435,            0.096015,            0.020068,            0.009109,            0.009109,            0.009109
                  11,            0.064974,            0.076169,            0.016549,             0.40453,             0.21021,             0.18365,            0.075925,            0.065328,            0.096283,            0.020835,             0.00901,             0.00901,             0.00901
                  12,              0.0637,            0.075665,            0.015845,             0.28432,             0.23455,             0.20617,            0.091047,            0.063712,             0.09483,            0.018838,            0.008911,            0.008911,            0.008911
                  13,            0.062998,            0.075704,            0.015273,             0.45725,             0.23528,             0.21308,            0.096092,            0.062644,            0.094748,             0.01905,            0.008812,            0.008812,            0.008812
                  14,            0.061954,            0.074834,            0.015366,             0.28743,             0.26549,             0.22401,            0.094778,            0.063139,            0.094197,            0.018953,            0.008713,            0.008713,            0.008713
                  15,            0.061195,            0.074368,             0.01508,             0.46789,             0.25666,             0.23471,             0.10653,            0.062339,            0.094251,            0.018372,            0.008614,            0.008614,            0.008614
                  16,            0.061386,            0.073731,            0.014983,             0.47565,             0.27102,             0.24499,               0.113,            0.061691,            0.093333,            0.018568,            0.008515,            0.008515,            0.008515
                  17,            0.059672,            0.072612,            0.014364,              0.3313,             0.25356,             0.23968,             0.10908,            0.061601,            0.093102,             0.01769,            0.008416,            0.008416,            0.008416
                  18,            0.059905,            0.072746,            0.014393,             0.34681,             0.26584,             0.25628,             0.11708,            0.060765,            0.093714,            0.017395,            0.008317,            0.008317,            0.008317
                  19,            0.060036,            0.073128,            0.014072,             0.50848,             0.26494,             0.26053,             0.12184,            0.060576,            0.092062,            0.017116,            0.008218,            0.008218,            0.008218
                  20,             0.05896,            0.072228,            0.013668,             0.49941,             0.27969,              0.2689,             0.12434,            0.059835,            0.091427,            0.016949,            0.008119,            0.008119,            0.008119
                  21,             0.05832,            0.071469,            0.013701,             0.36225,             0.28681,             0.27032,              0.1286,            0.059413,            0.090963,            0.017078,             0.00802,             0.00802,             0.00802
                  22,            0.058107,            0.071055,            0.013634,             0.53653,             0.29462,             0.27686,             0.12676,            0.059911,             0.09117,            0.017121,            0.007921,            0.007921,            0.007921
                  23,            0.058056,             0.07113,            0.013287,             0.40651,             0.29705,             0.28495,             0.13385,            0.058876,            0.090598,            0.016657,            0.007822,            0.007822,            0.007822
                  24,            0.057554,            0.071594,            0.013318,             0.40605,             0.28726,              0.2733,             0.12817,            0.059489,            0.091306,            0.016914,            0.007723,            0.007723,            0.007723
                  25,            0.057066,            0.071362,            0.012983,             0.42617,             0.29195,             0.29096,             0.14132,            0.058182,            0.089409,            0.016011,            0.007624,            0.007624,            0.007624
                  26,            0.057113,            0.069983,            0.012945,             0.46379,              0.3142,             0.30504,             0.14263,            0.058494,             0.08953,            0.015847,            0.007525,            0.007525,            0.007525
                  27,            0.056536,            0.071398,            0.012713,             0.40834,             0.32313,             0.29607,             0.14254,            0.058679,            0.089601,               0.016,            0.007426,            0.007426,            0.007426
                  28,            0.056229,            0.069939,            0.012556,             0.43755,             0.31721,             0.30845,             0.14859,            0.058047,            0.089171,            0.015667,            0.007327,            0.007327,            0.007327
                  29,            0.055858,             0.06902,            0.012518,             0.41788,             0.32632,             0.31336,             0.15219,             0.05758,            0.088206,            0.015714,            0.007228,            0.007228,            0.007228
                  30,            0.055956,            0.070658,             0.01247,             0.42793,             0.31998,             0.30738,             0.14948,            0.057344,            0.088989,            0.015496,            0.007129,            0.007129,            0.007129
                  31,            0.055691,            0.070153,            0.012168,             0.43014,             0.33553,             0.31609,             0.15307,            0.057192,            0.088338,            0.015265,             0.00703,             0.00703,             0.00703
                  32,            0.055226,            0.069477,            0.012011,              0.4736,             0.31987,             0.31844,             0.15938,            0.057105,            0.088152,            0.015275,            0.006931,            0.006931,            0.006931
                  33,            0.055064,             0.06904,            0.012067,             0.44354,             0.34259,             0.32805,             0.16192,            0.056462,            0.087997,            0.015181,            0.006832,            0.006832,            0.006832
                  34,            0.055018,            0.069273,            0.011956,             0.46153,             0.33153,             0.33172,              0.1686,             0.05628,            0.086928,            0.014915,            0.006733,            0.006733,            0.006733
                  35,            0.054891,            0.067926,            0.011646,             0.47139,             0.33262,             0.33102,             0.16482,            0.056165,            0.087077,            0.014804,            0.006634,            0.006634,            0.006634
                  36,            0.054983,            0.069596,            0.011819,              0.4734,             0.33447,             0.33039,             0.16218,            0.056375,            0.086932,            0.015032,            0.006535,            0.006535,            0.006535
                  37,            0.054197,             0.06949,            0.011539,             0.46556,             0.34869,             0.33737,             0.16775,            0.056036,            0.088115,            0.014822,            0.006436,            0.006436,            0.006436
                  38,            0.054378,            0.068383,            0.011794,             0.46559,             0.32439,             0.33202,             0.16397,            0.056123,            0.086922,            0.014799,            0.006337,            0.006337,            0.006337
                  39,            0.053523,            0.067843,            0.011353,             0.49864,             0.34545,             0.34024,             0.17065,            0.055757,            0.086845,            0.015166,            0.006238,            0.006238,            0.006238
                  40,            0.053799,            0.067759,            0.011333,             0.47004,             0.34287,             0.33847,             0.16994,            0.055746,             0.08704,             0.01443,            0.006139,            0.006139,            0.006139
                  41,            0.053502,            0.068233,            0.011321,             0.47252,             0.34967,             0.34178,             0.17207,            0.055804,             0.08715,            0.014529,             0.00604,             0.00604,             0.00604
                  42,            0.054119,            0.067616,            0.011423,              0.4743,             0.35237,             0.34926,             0.17371,            0.055302,            0.086234,            0.014177,            0.005941,            0.005941,            0.005941
                  43,            0.053572,            0.067777,            0.011145,             0.54757,             0.33236,             0.34787,             0.16931,            0.055517,            0.087055,            0.014395,            0.005842,            0.005842,            0.005842
                  44,            0.053457,            0.067532,            0.011274,             0.47975,             0.34088,             0.35005,             0.17405,            0.055675,            0.087466,            0.014434,            0.005743,            0.005743,            0.005743
                  45,            0.052989,            0.066466,            0.011128,             0.51303,             0.34208,             0.35773,             0.17942,            0.055101,            0.086308,            0.014358,            0.005644,            0.005644,            0.005644
                  46,            0.052977,             0.06805,            0.010875,             0.46364,             0.35907,             0.34577,              0.1729,            0.055303,            0.087447,            0.014544,            0.005545,            0.005545,            0.005545
                  47,            0.052857,            0.066865,            0.010871,             0.48898,             0.36528,             0.35827,             0.18162,            0.054926,            0.086262,            0.014148,            0.005446,            0.005446,            0.005446
                  48,            0.052671,             0.06725,            0.010912,             0.44229,              0.3631,             0.35669,             0.18199,            0.054987,            0.086315,            0.014168,            0.005347,            0.005347,            0.005347
                  49,            0.052584,             0.06665,             0.01087,             0.49806,             0.34854,             0.36164,             0.18589,             0.05459,            0.085666,             0.01398,            0.005248,            0.005248,            0.005248
                  50,            0.052439,            0.066058,            0.010753,             0.49906,             0.37186,             0.36559,             0.18534,            0.054847,            0.086169,            0.014053,            0.005149,            0.005149,            0.005149
                  51,             0.05222,            0.065789,            0.010578,             0.47279,             0.34918,             0.35015,              0.1808,            0.055095,            0.086686,             0.01407,             0.00505,             0.00505,             0.00505
                  52,             0.05203,            0.066113,            0.010568,             0.47343,             0.36747,             0.35836,             0.18074,            0.054408,             0.08573,            0.014195,            0.004951,            0.004951,            0.004951
                  53,            0.052005,            0.065689,            0.010365,               0.504,             0.35749,             0.36262,             0.18675,             0.05449,             0.08594,            0.013875,            0.004852,            0.004852,            0.004852
                  54,            0.051844,            0.066058,            0.010643,             0.53717,             0.36938,              0.3714,             0.18939,            0.054342,             0.08578,            0.013659,            0.004753,            0.004753,            0.004753
                  55,            0.051445,            0.065269,            0.010198,              0.5131,             0.36246,              0.3681,             0.18867,            0.054472,            0.085994,            0.014234,            0.004654,            0.004654,            0.004654
                  56,            0.051491,            0.065341,            0.010346,             0.54439,             0.35734,             0.37594,             0.19344,            0.054144,            0.085512,            0.013616,            0.004555,            0.004555,            0.004555
                  57,            0.051479,            0.065869,            0.010191,             0.55795,             0.35521,             0.37174,             0.19053,            0.054117,            0.085452,            0.013897,            0.004456,            0.004456,            0.004456
                  58,            0.051052,            0.065395,            0.010024,             0.53934,             0.36757,             0.37511,             0.19141,             0.05401,            0.085524,            0.013699,            0.004357,            0.004357,            0.004357
                  59,            0.051184,            0.065265,            0.010256,             0.51989,             0.37086,             0.37207,             0.19156,            0.053989,             0.08546,             0.01391,            0.004258,            0.004258,            0.004258
                  60,            0.050765,            0.064925,            0.010139,             0.52539,             0.38474,             0.38527,             0.19595,            0.053917,            0.085274,            0.013445,            0.004159,            0.004159,            0.004159
                  61,            0.051077,            0.065271,            0.010057,             0.54711,             0.36485,             0.37644,             0.19068,            0.053953,            0.084711,            0.013544,             0.00406,             0.00406,             0.00406
                  62,            0.051127,            0.065342,            0.010228,             0.53586,             0.36638,             0.37598,             0.19545,            0.053816,            0.085159,            0.013674,            0.003961,            0.003961,            0.003961
                  63,            0.050833,            0.065117,            0.010033,             0.55611,             0.37246,             0.39195,             0.20347,            0.053663,             0.08499,            0.013503,            0.003862,            0.003862,            0.003862
                  64,            0.050758,            0.065258,           0.0098736,             0.57587,             0.35999,             0.38792,             0.20179,            0.053577,            0.085045,            0.013616,            0.003763,            0.003763,            0.003763
                  65,            0.050456,            0.065376,           0.0098514,             0.54427,             0.37026,             0.38127,             0.19513,            0.053768,            0.084911,            0.013562,            0.003664,            0.003664,            0.003664
                  66,             0.05038,            0.063973,           0.0098712,             0.59804,              0.3593,               0.388,             0.20168,            0.053539,            0.085037,            0.013341,            0.003565,            0.003565,            0.003565
                  67,            0.050467,             0.06506,           0.0097022,             0.58607,              0.3548,              0.3837,             0.20041,            0.053438,            0.084602,            0.013626,            0.003466,            0.003466,            0.003466
                  68,            0.050677,            0.065022,           0.0098095,             0.55721,             0.36687,             0.38553,             0.19913,            0.053399,            0.084862,            0.013353,            0.003367,            0.003367,            0.003367
                  69,            0.049883,            0.063934,           0.0094546,             0.55133,             0.37156,             0.39434,             0.20588,            0.053376,            0.084652,            0.013456,            0.003268,            0.003268,            0.003268
                  70,            0.050015,            0.064221,           0.0095527,             0.55974,             0.36974,             0.38474,             0.19844,            0.053343,            0.084849,            0.013617,            0.003169,            0.003169,            0.003169
                  71,            0.049998,            0.064042,           0.0095995,             0.56929,             0.37921,             0.38879,             0.20037,            0.053386,            0.084841,            0.013206,             0.00307,             0.00307,             0.00307
                  72,            0.049881,             0.06368,           0.0094314,             0.55088,             0.36967,             0.38694,             0.20119,            0.053191,            0.084709,             0.01359,            0.002971,            0.002971,            0.002971
                  73,            0.049703,            0.064234,           0.0094867,             0.57345,             0.37915,             0.39582,             0.20847,            0.053184,            0.084548,            0.013178,            0.002872,            0.002872,            0.002872
                  74,            0.049538,            0.063441,           0.0093641,              0.5702,              0.3741,             0.39163,             0.20477,            0.053197,            0.084883,            0.013349,            0.002773,            0.002773,            0.002773
                  75,            0.049605,            0.063774,           0.0095738,             0.59067,             0.37354,             0.40029,             0.21115,            0.053214,            0.084948,            0.013235,            0.002674,            0.002674,            0.002674
                  76,            0.049722,            0.062949,           0.0094305,             0.55173,             0.37323,             0.39046,             0.20711,            0.053269,            0.085411,            0.013442,            0.002575,            0.002575,            0.002575
                  77,            0.049672,            0.063176,           0.0094024,             0.57026,             0.36203,             0.38942,             0.20745,              0.0531,             0.08483,             0.01331,            0.002476,            0.002476,            0.002476
                  78,            0.049459,            0.063103,           0.0094898,             0.54753,             0.36947,             0.38979,             0.20414,            0.053003,            0.084561,            0.013408,            0.002377,            0.002377,            0.002377
                  79,            0.049315,            0.064058,           0.0091764,             0.56964,             0.38322,             0.40089,             0.21119,             0.05297,            0.084298,            0.013332,            0.002278,            0.002278,            0.002278
                  80,            0.049673,             0.06321,           0.0094946,             0.59146,             0.36239,             0.39743,             0.20829,            0.053106,            0.084878,            0.013549,            0.002179,            0.002179,            0.002179
                  81,            0.049325,            0.062955,           0.0092293,             0.54795,             0.37927,              0.3973,             0.20834,            0.052983,             0.08438,             0.01341,             0.00208,             0.00208,             0.00208
                  82,             0.04929,            0.063109,           0.0092566,             0.57291,             0.36234,              0.3922,               0.206,            0.053046,            0.084652,            0.013514,            0.001981,            0.001981,            0.001981
                  83,            0.049076,            0.062748,            0.009114,             0.54392,             0.38598,             0.39422,             0.20856,            0.053094,            0.084956,            0.013657,            0.001882,            0.001882,            0.001882
                  84,            0.048969,            0.063045,           0.0090755,             0.54919,             0.37962,             0.40209,             0.21078,            0.052779,            0.084778,            0.013254,            0.001783,            0.001783,            0.001783
                  85,            0.048889,            0.062819,           0.0088648,             0.55995,             0.37726,             0.39773,             0.21064,            0.052934,            0.084411,            0.013329,            0.001684,            0.001684,            0.001684
                  86,            0.048699,            0.062648,           0.0089844,             0.51063,             0.38923,             0.39683,             0.20875,            0.052898,            0.084605,            0.013238,            0.001585,            0.001585,            0.001585
                  87,            0.048697,            0.062358,            0.009058,             0.53725,             0.38751,             0.40395,             0.21568,            0.052768,            0.084585,            0.013202,            0.001486,            0.001486,            0.001486
                  88,             0.04872,            0.062013,           0.0090538,             0.55982,              0.3787,             0.39836,             0.21117,             0.05283,            0.084831,            0.013295,            0.001387,            0.001387,            0.001387
                  89,            0.048655,            0.062046,           0.0089277,             0.53651,             0.39103,             0.40657,             0.21431,            0.052715,            0.084481,             0.01342,            0.001288,            0.001288,            0.001288
                  90,            0.048402,            0.061293,           0.0089168,             0.54355,             0.38041,             0.40424,             0.21524,            0.052786,            0.084679,            0.013178,            0.001189,            0.001189,            0.001189
                  91,             0.04846,            0.061576,           0.0089488,             0.56654,             0.37511,             0.40484,               0.216,            0.052777,            0.084738,            0.013328,             0.00109,             0.00109,             0.00109
                  92,             0.04829,            0.062226,           0.0090427,             0.55304,               0.387,             0.40761,             0.21894,            0.052676,            0.084813,            0.013348,            0.000991,            0.000991,            0.000991
                  93,            0.048325,            0.062683,           0.0086738,             0.55943,             0.38411,             0.40556,             0.21642,            0.052673,            0.084539,            0.013412,            0.000892,            0.000892,            0.000892
                  94,            0.048754,             0.06288,           0.0089607,             0.57752,             0.37724,             0.40582,              0.2158,            0.052688,            0.084561,            0.013257,            0.000793,            0.000793,            0.000793
                  95,            0.048681,             0.06213,           0.0088828,             0.57724,             0.37156,             0.40655,              0.2176,             0.05263,            0.084367,            0.013224,            0.000694,            0.000694,            0.000694
                  96,            0.048213,            0.061307,            0.008701,             0.54835,             0.38022,             0.40348,             0.21633,            0.052621,            0.084755,            0.013387,            0.000595,            0.000595,            0.000595
                  97,             0.04847,            0.061036,           0.0088032,             0.53708,             0.38344,             0.40362,             0.21651,            0.052595,            0.084594,            0.013478,            0.000496,            0.000496,            0.000496
                  98,            0.048378,            0.062175,           0.0088495,             0.53977,             0.39234,             0.40863,             0.21851,            0.052577,            0.084488,            0.013305,            0.000397,            0.000397,            0.000397
                  99,            0.048122,            0.061125,           0.0085647,              0.5648,             0.37805,             0.40511,             0.21524,            0.052621,            0.084477,            0.013359,            0.000298,            0.000298,            0.000298
